year,l3,number_of_students_all_sum,number_of_students_men_sum,number_of_students_women_sum,number_of_students_unknown_sum,number_of_workers_all_sum,median_weekly_earnings_all_mean,number_of_workers_men_sum,median_weekly_earnings_men_mean,number_of_workers_women_sum,median_weekly_earnings_women_mean
2011,"Management, professional, and related occupations",5574.0,2727.0,2847.0,0.0,39978,7191.586061745273,19392,5282.619774815827,20587,3999.3730310625047
2011,"Natural resources, construction, and maintenance occupations",0.0,0.0,0.0,0.0,9967,791.9524774774775,9575,741.2849849849849,390,81.44444444444444
2011,"Production, transportation, and material moving occupations",0.0,0.0,0.0,0.0,13259,440.0777777777778,10662,410.59305555555557,2597,118.28611111111111
2011,Sales and office occupations,362.0,223.0,139.0,0.0,22878,1052.3954248366013,8957,827.8464052287582,13920,765.9607843137255
2011,Service occupations,113.0,9.0,104.0,0.0,14381,1899.175602175602,7388,1444.1970473970473,6998,972.7396270396271
2012,"Management, professional, and related occupations",5451.0,2641.0,2810.0,0.0,41136,7360.730048606364,20025,5424.376201868307,21109,4187.1972639933165
2012,"Natural resources, construction, and maintenance occupations",0.0,0.0,0.0,0.0,9968,791.5638888888889,9579,723.2009009009009,387,82.88888888888889
2012,"Production, transportation, and material moving occupations",0.0,0.0,0.0,0.0,13779,452.46944444444443,11008,401.9222222222222,2766,120.12916666666666
2012,Sales and office occupations,391.0,251.0,140.0,0.0,23032,1046.9084967320262,9161,882.8692810457516,13866,791.9346405228758
2012,Service occupations,114.0,8.0,106.0,0.0,14839,1980.738578088578,7514,1461.133954933955,7328,992.6371794871794
2013,"Management, professional, and related occupations",5716.0,2826.0,2890.0,0.0,41960,7338.624364518015,20392,5755.643056587451,21568,4248.155710504852
2013,"Natural resources, construction, and maintenance occupations",0.0,0.0,0.0,0.0,10340,809.4102102102102,9902,769.5058558558558,434,82.33333333333333
2013,"Production, transportation, and material moving occupations",0.0,0.0,0.0,0.0,13862,501.76111111111106,11022,405.25555555555553,2835,144.44444444444446
2013,Sales and office occupations,431.0,275.0,156.0,0.0,23040,1046.3823529411766,9072,807.4771241830066,13970,795.6895424836601
2013,Service occupations,123.0,4.0,119.0,0.0,15053,1980.1212898212898,7595,1478.357226107226,7457,1026.8276223776224
2014,"Management, professional, and related occupations",6129.0,3098.0,3031.0,0.0,43171,7335.827466310704,20856,5421.2238778765095,22293,4563.462539913684
2014,"Natural resources, construction, and maintenance occupations",0.0,0.0,0.0,0.0,10761,820.2817567567567,10348,767.3974474474473,417,83.88888888888889
2014,"Production, transportation, and material moving occupations",0.0,0.0,0.0,0.0,14251,522.5416666666667,11400,462.0763888888889,2848,124.2125
2014,Sales and office occupations,453.0,300.0,153.0,0.0,23329,1069.9934640522877,9217,841.0359477124182,14115,793.5032679738562
2014,Service occupations,127.0,6.0,121.0,0.0,15022,2071.895843045843,7621,1562.4423076923076,7394,1035.4184149184148
2015,"Management, professional, and related occupations",4578.0,2207.0,2371.0,0.0,44988,8062.901390993954,21909,5459.722503557973,23064,4613.605268028437
2015,"Natural resources, construction, and maintenance occupations",0.0,0.0,0.0,0.0,10833,838.9289039039039,10382,789.7354354354354,451,96.22222222222223
2015,"Production, transportation, and material moving occupations",0.0,0.0,0.0,0.0,14427,508.3513888888889,11465,460.3597222222222,2948,141.57361111111112
2015,Sales and office occupations,360.0,224.0,136.0,0.0,23559,1097.575163398693,9361,911.4607843137255,14202,830.9901960784314
2015,Service occupations,118.0,6.0,112.0,0.0,15276,2056.0595182595184,7630,1479.6810023310022,7652,1066.6672882672883
